Designator,Mid X,Mid Y,Rotation,Layer
C10,164.2872,-67.3825,270.0,top
C11,155.6127,-67.5132,0.0,bottom
C12,161.9504,-63.7286,90.0,bottom
C13,159.5628,-63.7286,90.0,bottom
C14,169.9768,-67.5,270.0,bottom
C15,135.2076,-79.736,90.0,top
C16,136.2744,-79.736,90.0,top
C17,141.4393,-82.9705,0.0,top
C18,141.4393,-84.2913,0.0,top
C19,134.7845,-90.8899,90.0,top
C20,141.4393,-85.2819,0.0,top
C21,136.7149,-90.9066,90.0,top
C22,137.1975,-92.5322,0.0,top
C23,113.9335,-80.7114,180.0,top
C24,130.81,-67.3825,270.0,top
C25,154.2706,-77.4192,0.0,top
C3,132.8962,-80.3035,0.0,top
C4,140.7956,-86.9075,270.0,top
C5,119.7102,-67.3825,270.0,top
C6,129.1082,-63.7286,90.0,bottom
C7,126.7714,-63.7286,90.0,bottom
C8,124.4346,-63.7286,90.0,bottom
C9,131.0132,-64.4652,270.0,bottom
D1,177.4436,-76.416,180.0,top
D2,136.2744,-78.8811,90.0,bottom
D3,142.2434,-84.2659,180.0,bottom
D4,116.5408,-77.6634,180.0,top
J1,107.3212,-67.5,90.0,top
J2,174.7934,-67.5,270.0,top
J3,102.7258,-81.0,270.0,top
L1,145.0086,-62.484,0.0,top
Q1,136.3966,-62.0424,180.0,bottom
Q2,153.646,-62.012467,0.0,bottom
Q3,141.5782,-62.0424,180.0,bottom
Q4,148.7664,-62.012467,0.0,bottom
R10,152.1714,-56.5658,90.0,bottom
R11,176.3401,-75.946,0.0,bottom
R12,176.3401,-76.9366,0.0,bottom
R13,142.9766,-65.6082,90.0,bottom
R14,147.2692,-56.5658,90.0,bottom
R15,131.169,-86.1709,0.0,top
R17,133.8193,-90.8899,90.0,top
R18,135.7497,-90.8812,90.0,top
R19,137.7055,-90.9066,90.0,top
R20,138.6961,-90.932,90.0,top
R21,116.8799,-81.3718,90.0,top
R3,132.3287,-78.6525,270.0,top
R4,133.4637,-78.6525,270.0,top
R5,142.4974,-86.34,180.0,top
R6,142.4974,-87.475,180.0,top
R7,132.8166,-63.7286,90.0,bottom
R8,157.1752,-63.7286,270.0,bottom
R9,137.8204,-65.6082,90.0,bottom
RV1,174.4218,-86.4616,180.0,top
RV2,174.4218,-81.005,180.0,top
U1,136.0682,-84.7594,90.0,top
U2,114.276,-82.6798,180.0,top
